Date,Pure Gold (24 k),Standard Gold (22 K)
2018-07-06,3071.0,2925.0
2018-07-07,3070.0,2924.0
2018-07-08,3070.0,2924.0
2018-07-09,3073.0,2927.0
2018-07-10,3061.0,2915.0
2018-07-11,3057.0,2911.0
2018-07-12,3037.0,2891.0
2018-07-13,3024.0,2880.0
2018-07-14,3029.0,2885.0
2018-07-15,3029.0,2885.0
2018-07-16,3032.0,2888.0
2018-07-17,3021.0,2877.0
2018-07-18,2987.0,2844.0
2018-07-19,2993.0,2850.0
2018-07-20,2997.0,2854.0
2018-07-21,3018.0,2874.0
2018-07-22,3018.0,2874.0
2018-07-23,3009.0,2865.0
2018-07-24,3006.0,2863.0
2018-07-25,3006.0,2863.0
2018-07-26,3006.0,2863.0
2018-07-27,2988.0,2846.0
2018-07-28,3003.0,2860.0
2018-07-29,3003.0,2860.0
2018-07-30,2989.0,2847.0
2018-07-31,2983.0,2841.0
2018-08-01,2985.0,2843.0
2018-08-02,2974.0,2832.0
2018-08-03,2959.0,2817.0
2018-08-04,2973.0,2831.0
2018-08-05,2973.0,2831.0
2018-08-06,2966.0,2825.0
2018-08-07,2969.0,2828.0
2018-08-08,2963.0,2822.0
2018-08-09,2962.0,2821.0
2018-08-10,2964.0,2823.0
2018-08-11,2984.0,2842.0
2018-08-12,2984.0,2842.0
2018-08-13,2986.0,2844.0
2018-08-14,2968.0,2827.0
2018-08-15,2977.0,2835.0
2018-08-16,2957.0,2817.0
2018-08-17,2944.0,2804.0
2018-08-18,2961.0,2820.0
2018-08-19,2961.0,2820.0
2018-08-20,2952.0,2811.0
2018-08-21,2965.0,2824.0
2018-08-22,2974.0,2832.0
2018-08-23,2968.0,2826.0
2018-08-24,2975.0,2833.0
2018-08-25,3004.0,2861.0
2018-08-26,3004.0,2861.0
2018-08-27,2999.0,2856.0
2018-08-28,3026.0,2882.0
2018-08-29,3015.0,2872.0
2018-08-30,3024.0,2880.0
2018-08-31,3039.0,2894.0
2018-09-01,3029.0,2885.0
2018-09-02,3029.0,2885.0
2018-09-03,3027.0,2883.0
2018-09-04,3034.0,2890.0
2018-09-05,3044.0,2900.0
2018-09-06,3067.0,2923.0
2018-09-07,3056.0,2910.0
2018-09-08,3065.0,2919.0
2018-09-09,3065.0,2919.0
2018-09-10,3063.0,2917.0
2018-09-11,3072.0,2926.0
2018-09-12,3061.0,2915.0
2018-09-13,3068.0,2922.0
2018-09-14,3067.0,2921.0
2018-09-15,3066.0,2920.0
2018-09-16,3066.0,2920.0
2018-09-17,3082.0,2935.0
2018-09-18,3083.0,2936.0
2018-09-19,3097.0,2950.0
2018-09-20,3076.0,2929.0
2018-09-21,3092.0,2945.0
2018-09-22,3077.0,2930.0
2018-09-23,3077.0,2930.0
2018-09-24,3083.0,2936.0
2018-09-25,3090.0,2943.0
2018-09-26,3085.0,2938.0
2018-09-27,3075.0,2929.0
2018-09-28,3049.0,2904.0
2018-09-29,3074.0,2928.0
2018-09-30,3074.0,2928.0
2018-10-01,3061.0,2915.0
2018-10-02,3084.0,2938.0
2018-10-03,3118.0,2972.0
2018-10-04,3123.0,2974.0
2018-10-05,3137.0,2988.0
2018-10-06,3158.0,3008.0
2018-10-07,3158.0,3008.0
2018-10-08,3131.0,2981.0
2018-10-09,3121.0,2972.0
2018-10-10,3116.0,2968.0
2018-10-11,3141.0,2991.0
2018-10-12,3177.0,3026.0
2018-10-13,3176.0,3025.0
2018-10-14,3176.0,3025.0
2018-10-15,3211.0,3058.0
2018-10-16,3196.0,3043.0
2018-10-17,3186.0,3034.0
2018-10-18,3185.0,3033.0
2018-10-19,3194.0,3042.0
2018-10-20,3189.0,3037.0
2018-10-21,3189.0,3037.0
2018-10-22,3172.0,3021.0
2018-10-23,3210.0,3057.0
2018-10-24,3183.0,3031.0
2018-10-25,3187.0,3035.0
2018-10-26,3204.0,3052.0
2018-10-27,3197.0,3045.0
2018-10-28,3197.0,3045.0
2018-10-29,3190.0,3038.0
2018-10-30,3186.0,3035.0
2018-10-31,3180.0,3028.0
2018-11-01,3186.0,3034.0
2018-11-02,3178.0,3026.0
2018-11-03,3191.0,3039.0
2018-11-04,3191.0,3039.0
2018-11-05,3187.0,3035.0
2018-11-06,3197.0,3044.0
2018-11-07,3176.0,3023.0
2018-11-08,3156.0,3003.0
2018-11-09,3156.0,3003.0
2018-11-10,3138.0,2985.0
2018-11-11,3138.0,2985.0
2018-11-12,3139.0,2986.0
2018-11-13,3117.0,2968.0
2018-11-14,3096.0,2947.0
2018-11-15,3119.0,2970.0
2018-11-16,3106.0,2957.0
2018-11-17,3124.0,2975.0
2018-11-18,3124.0,2975.0
2018-11-19,3102.0,2957.0
2018-11-20,3105.0,2960.0
2018-11-21,3107.0,2962.0
2018-11-22,3100.0,2955.0
2018-11-23,3080.0,2935.0
2018-11-24,3079.0,2934.0
2018-11-25,3079.0,2934.0
2018-11-26,3077.0,2932.0
2018-11-27,3076.0,2931.0
2018-11-28,3055.0,2910.0
2018-11-29,3054.0,2909.0
2018-11-30,3047.0,2902.0
2018-12-01,3050.0,2905.0
2018-12-02,3050.0,2905.0
2018-12-03,3075.0,2930.0
2018-12-04,3098.0,2953.0
2018-12-05,3095.0,2949.0
2018-12-06,3116.0,2970.0
2018-12-07,3111.0,2965.0
2018-12-08,3156.0,3010.0
2018-12-09,3156.0,3010.0
2018-12-10,3150.0,3004.0
2018-12-11,3170.0,3024.0
2018-12-12,3170.0,3024.0
2018-12-13,3158.0,3012.0
2018-12-14,3150.0,3004.0
2018-12-15,3156.0,3010.0
2018-12-16,3156.0,3010.0
2018-12-17,3139.0,2993.0
2018-12-18,3132.0,2986.0
2018-12-19,3114.0,2968.0
2018-12-20,3108.0,2962.0
2018-12-21,3133.0,2987.0
2018-12-22,3125.0,2979.0
2018-12-23,3125.0,2979.0
2018-12-24,3133.0,2987.0
2018-12-25,3151.0,3005.0
2018-12-26,3153.0,3007.0
2018-12-27,3163.0,3017.0
2018-12-28,3162.0,3016.0
2018-12-29,3168.0,3022.0
2018-12-30,3168.0,3022.0
2018-12-31,3163.0,3017.0
2019-01-01,3167.0,3021.0
2019-01-02,3185.0,3039.0
2019-01-03,3198.0,3052.0
2019-01-04,3183.0,3037.0
2019-01-05,3170.0,3024.0
2019-01-06,3170.0,3024.0
2019-01-07,3190.0,3044.0
2019-01-08,3183.0,3037.0
2019-01-09,3197.0,3051.0
2019-01-10,3223.0,3076.0
2019-01-11,3219.0,3072.0
2019-01-12,3223.0,3076.0
2019-01-13,3223.0,3076.0
